projid,projecttitle,projectrdc,projectpi,authors,outputtitle,outputbiblio,outputyear,doi,abstract,source_file,projectstatus,projectyearstarted,projectyearended,outputtype,outputstatus,outputvenue,outputmonth,outputvolume,outputnumber,outputpages
,Disaggregating Census Data for Population Mapping Using Random Forests with Remotely-Sensed and Ancillary Data,,Forrest R. Stevens,Forrest R. Stevens; Andrea E. Gaughan; Catherine Linard; Andrew J. Tatem,Disaggregating Census Data for Population Mapping Using Random Forests with Remotely-Sensed and Ancillary Data,census; population; mapping; using; random; forests; remotely; ancillary,2015.0,10.1371/journal.pone.0107042,"High resolution, contemporary data on human population distributions are vital for measuring impacts of population growth, monitoring human-environment interactions and for planning and policy development. Many methods are used to disaggregate census data and predict population densities for finer scale, gridded population data sets. We present a new semi-automated dasymetric modeling approach that incorporates detailed census and ancillary data in a flexible, ""Random Forest"" estimation technique. We outline the combination of widely available, remotely-sensed and geospatial data that contribute to the modeled dasymetric weights and then use the Random Forest model to generate a gridded prediction of population density at ~100 m spatial resolution. This prediction layer is then used as the weighting surface to perform dasymetric redistribution of the census counts at a country level. As a case study we compare the new algorithm and its products for three countries (Vietnam, Cambodia, and Kenya) with other common gridded population data production methodologies. We discuss the advantages of the new method and increases over the accuracy and flexibility of those previous approaches. Finally, we outline how this algorithm will be extended to provide freely-available gridded population data sets for Africa, Asia and Latin America.",group6.csv,Unknown,,,Unknown,Published,,,,,
,Ecological Fallacies and the Analysis of Areal Census Data,,Stan Openshaw,Stan Openshaw,Ecological Fallacies and the Analysis of Areal Census Data,fallacies; areal; census,1984.0,10.1068/a160017,"In many countries census data are only reported for areal units and not at the individual level. This custom raises the spectre of ecological fallacy problems. In this paper, a 10% sample census (from the United Kingdom) and individual census data (from Italy) are used to provide an empirical demonstration of the nature and magnitude of these problems. It is concluded that ecological fallacy effects are endemic to areal census data, although their magnitude is perhaps not as large as might have been expected. The principal difficulty is that there is at present no way of predicting in advance the degree of severity likely to be associated with particular variables and particular techniques. Finally, a suggestion is made concerning how the potentially serious practical consequences can be reduced.",group6.csv,Unknown,,,Unknown,Published,,,,,
,The Atlantic Slave Trade: A Census,Wisconsin,David Brion Davis,David Brion Davis; Philip D. Curtin,The Atlantic Slave Trade: A Census,atlantic; slave; trade; a; census,1970.0,10.2307/1900557,"Journal Article The Atlantic Slave Trade: A Census. By Philip D. Curtin. (Madison: University of Wisconsin Press, 1969. xix + 338 pp. Maps, charts, tables, notes, appendix, bibliography, and index. $7.50.) Get access David Brion Davis David Brion Davis Queen's College, Oxford Search for other works by this author on: Oxford Academic Google Scholar Journal of American History, Volume 57, Issue 1, June 1970, Pages 119–120, https://doi.org/10.2307/1900557 Published: 01 June 1970",group6.csv,Unknown,,,Unknown,Published,,,,,
,A molecular census of arcuate hypothalamus and median eminence cell types,,John N. Campbell,John N. Campbell; Evan Z. Macosko; Henning Fenselau; Tune H. Pers; Anna Lyubetskaya; Danielle Tenen; Melissa Goldman; Anne M.J. Verstegen; Jon M. Resch; Steven A. McCarroll; Evan D. Rosen; Bradford B. Lowell; Linus Tsai,A molecular census of arcuate hypothalamus and median eminence cell types,census; arcuate; hypothalamus; eminence; cell; types,2017.0,10.1038/nn.4495,,group6.csv,Unknown,,,Unknown,Published,,,,,
,"GTDB: an ongoing census of bacterial and archaeal diversity through a phylogenetically consistent, rank normalized and complete genome-based taxonomy",,Donovan H. Parks,Donovan H. Parks; Maria Chuvochina; Christian Rinke; Aaron J. Mussig; Pierre-Alain Chaumeil; Philip Hugenholtz,"GTDB: an ongoing census of bacterial and archaeal diversity through a phylogenetically consistent, rank normalized and complete genome-based taxonomy",gtdb; census; diversity; rank; genome; taxonomy,2021.0,10.1093/nar/gkab776,"Abstract The Genome Taxonomy Database (GTDB; https://gtdb.ecogenomic.org) provides a phylogenetically consistent and rank normalized genome-based taxonomy for prokaryotic genomes sourced from the NCBI Assembly database. GTDB R06-RS202 spans 254 090 bacterial and 4316 archaeal genomes, a 270% increase since the introduction of the GTDB in November, 2017. These genomes are organized into 45 555 bacterial and 2339 archaeal species clusters which is a 200% increase since the integration of species clusters into the GTDB in June, 2019. Here, we explore prokaryotic diversity from the perspective of the GTDB and highlight the importance of metagenome-assembled genomes in expanding available genomic representation. We also discuss improvements to the GTDB website which allow tracking of taxonomic changes, easy assessment of genome assembly quality, and identification of genomes assembled from type material or used as species representatives. Methodological updates and policy changes made since the inception of the GTDB are then described along with the procedure used to update species clusters in the GTDB. We conclude with a discussion on the use of average nucleotide identities as a pragmatic approach for delineating prokaryotic species.",group6.csv,Unknown,,,Unknown,Published,,,,,
,United States Census Bureau,,,,United States Census Bureau,united; states; census; bureau,2012.0,10.4135/9781452218380.n255,,group6.csv,Unknown,,,Unknown,Published,,,,,
,Bacterial census of poultry intestinal microbiome,,Shengbao Wei,Shengbao Wei; Mark Morrison; Zhongtang Yu,Bacterial census of poultry intestinal microbiome,bacterial; census; poultry; microbiome,2013.0,10.3382/ps.2012-02822,"The objective of this study was to generate a phylogenetic diversity census of bacteria identified in the intestinal tract of chickens and turkeys using a naïve analysis of all the curated 16S rRNA gene sequences archived in public databases. High-quality sequences of chicken and turkey gastrointestinal origin (3,184 and 1,345, respectively) were collected from the GenBank, Ribosomal Database Project, and Silva comprehensive ribosomal RNA database. Through phylogenetic and statistical analysis, 915 and 464 species-equivalent operational taxonomic units (defined at 0.03 phylogenetic distance) were found in the chicken and the turkey sequence collections, respectively. Of the 13 bacterial phyla identified in both bird species, Firmicutes, Bacteroidetes, and Proteobacteria were the largest phyla, accounting for >90% of all the sequences. The chicken sequences represent 117 established bacterial genera, and the turkey sequences represent 69 genera. The most predominant genera found in both the chicken and the turkey sequence data sets were Clostridium, Ruminococcus, Lactobacillus, and Bacteroides, but with different distribution between the 2 bird species. The estimated coverage of bacterial diversity of chicken and turkey reached 89 and 68% at species-equivalent and 93 and 73% at genus-equivalent levels, respectively. Less than 7,000 bacterial sequences from each bird species from various locations would be needed to reach 99% coverage for either bird species. Based on annotation of the sequence records, cecum was the most sampled gut segment. Chickens and turkeys were shown to have distinct intestinal microbiomes, sharing only 16% similarity at the species-equivalent level. Besides identifying gaps in knowledge on bacterial diversity in poultry gastrointestinal tract, the bacterial census generated in this study may serve as a framework for future studies and development of analytic tools.",group6.csv,Unknown,,,Unknown,Published,,,,,
,A census of protein repeats,,Edward M. Marcotte,Edward M. Marcotte; Matteo Pellegrini; Todd O. Yeates; David Eisenberg,A census of protein repeats,census; protein; repeats,1999.0,10.1006/jmbi.1999.3136,,group6.csv,Unknown,,,Unknown,Published,,,,,
,"A Census of Marine Biodiversity Knowledge, Resources, and Future Challenges",USC,Mark J. Costello,Mark J. Costello; Marta Coll; Roberto Danovaro; Pat Halpin; Henn Ojaveer; Patricia Miloslavich,"A Census of Marine Biodiversity Knowledge, Resources, and Future Challenges",census; marine; biodiversity; knowledge; resources; future; challenges,2010.0,10.1371/journal.pone.0012110,"The Census of Marine Life (2000)(2001)(2002)(2003)(2004)(2005)(2006)(2007)(2008)(2009)(2010) was the largest global research programme on marine biodiversity.This paper integrated the findings of reviews of major world regions by the Census and provides a global perspective on what is known and what are the major scientific gaps.Study metrics were regional species richness, numbers of endemic and alien species, numbers of species identification guides and taxonomic experts, and a state-ofknowledge index.The threats to biodiversity were classified across the regions.A poor to moderate correlation between species richness and seabed area, and sea volume, and no correlations with topographic variation, were attributed to sparse, uneven and unrepresentative sampling in much of the global marine environment.Many habitats have been poorly sampled, particularly in deeper seas, and several species-rich taxonomic groups, especially of smaller organisms, remain poorly studied.Crustacea, Mollusca, and Pisces comprised approximately half of all known species across the regions.The proportion that these and other taxa comprised of all taxa varied sufficiently to question whether the relative number of species within phyla and classes are constant throughout the world.Overfishing and pollution were identified as the main threats to biodiversity across all regions, followed by alien species, altered temperature, acidification, and hypoxia, although their relative importance varied among regions.The findings were replicated worldwide, in both developed and developing countries: i.e. major gaps exist in sampling effort and taxonomic expertise that impair society's ability to discover new species and identify and understand species of economic and ecological importance.There was a positive relationship between the availability of species identification guides and knowledge of biodiversity, including the number of species and alien species.Available taxonomic guides and experts correlated negatively with endemic species, suggesting that the more we study the ocean the fewer endemic species are evident.There is a need to accelerate the discovery of marine biodiversity, since much of it may be lost without even being known.We discuss how international collaboration between developed and developing countries is essential for improving productivity in the discovery and management of marine biodiversity, and how various sectors may contribute to this.Although the economic exploitation of marine resources dates back to prehistoric times, and historical documentation has existed since the third century B.C.",group6.csv,Unknown,,,Unknown,Published,,,,,
,A census of amplified and overexpressed human cancer genes,,Thomas Santarius,Thomas Santarius; Janet Shipley; Daniel Brewer; Michael R. Stratton; Colin S. Cooper,A census of amplified and overexpressed human cancer genes,census; cancer; genes,2009.0,10.1038/nrc2771,,group6.csv,Unknown,,,Unknown,Published,,,,,
,Bird census and survey techniques,,Richard D. Gregory,Richard D. Gregory; David W. Gibbons; Paul F. Donald,Bird census and survey techniques,bird; census; survey; techniques,2004.0,10.1093/acprof:oso/9780198520863.003.0002,"This chapter focuses on field survey and census techniques, the difference between one-off surveys and long-term year-on-year monitoring of birds in particular study areas. It is concerned with estimating population sizes and densities, or indices of densities for particular species. It lists the key decisions that need to be made before a project is started, and discusses sampling strategies, levels of accuracy and precision, and field methods, including the pros and cons of mapping methods, line transects, point transects, and other counting procedures. It also discusses detection probabilities, and the problems presented by colonies, flocks, and passing migrants. It deals with capture techniques, tape playback, and other vocal methods, including the identification of individuals from their calls.",group6.csv,Unknown,,,Unknown,Published,,,,,
,A Census of the Young Cluster IC 348,,K. L. Luhman,K. L. Luhman; J. R. Stauffer; August Muench; G. H. Rieke; Elizabeth A. Lada; J. Bouvier; C. J. Lada,A Census of the Young Cluster IC 348,census; young; cluster; ic,2003.0,10.1086/376594,"We present a new census of the stellar and substellar members of the young cluster IC 348. We have obtained images at I and Z for a 42'x28' field encompassing the cluster and have combined these measurements with previous optical and near-infrared photometry. From spectroscopy of candidate cluster members appearing in these data, we have identified 122 new members, 15 of which have spectral types of M6.5-M9, corresponding to masses of 0.08-0.015 M_sun by recent evolutionary models. The latest census for IC 348 now contains a total of 288 members, 23 of which are later than M6 and thus are likely to be brown dwarfs. From an extinction-limited sample of members (A_V&lt;=4) for a 16'x14' field centered on the cluster, we construct an IMF that is unbiased in mass and nearly complete for M/M_sun&gt;=0.03 (&lt;=M8). In logarithmic units where the Salpeter slope is 1.35, the mass function for IC 348 rises from high masses down to a solar mass, rises more slowly down to a maximum at 0.1-0.2 M_sun, and then declines into the substellar regime. In comparison, the similarly-derived IMF for Taurus from Briceno et al. and Luhman et al. rises quickly to a peak near 0.8 M_sun and steadily declines to lower masses. The distinctive shapes of the IMFs in IC 348 and Taurus are reflected in the distributions of spectral types, which peak at M5 and K7, respectively. These data provide compelling, model-independent evidence for a significant variation of the IMF with star-forming conditions.",group6.csv,Unknown,,,Unknown,Published,,,,,
,Dam nation: A geographic census of American dams and their large‐scale hydrologic impacts,Colorado,William L. Graf,William L. Graf,Dam nation: A geographic census of American dams and their large‐scale hydrologic impacts,dam; nation; a; census; dams; scale; hydrologic; impacts,1999.0,10.1029/1999wr900016,"Newly available data indicate that dams fragment the fluvial system of the continental United States and that their impact on river discharge is several times greater than impacts deemed likely as a result of global climate change. The 75,000 dams in the continental United States are capable of storing a volume of water almost equaling one year's mean runoff, but there is considerable geographic variation in potential surface water impacts. In some western mountain and plains regions, dams can store more than 3 year's runoff, while in the Northeast and Northwest, storage is as little as 25% of the annual runoff. Dams partition watersheds; the drainage area per dam varies from 44 km 2 (17 miles 2 ) per dam in New England to 811 km 2 (313 miles 2 ) per dam in the Lower Colorado basin. Storage volumes, indicators of general hydrologic effects of dams, range from 26,200 m 3 km −2 (55 acre‐feet mile −2 ) in the Great Basin to 345,000 m 3 km −2 (725 acre‐feet mile −2 ) in the South Atlantic region. The greatest river flow impacts occur in the Great Plains, Rocky Mountains, and the arid Southwest, where storage is up to 3.8 times the mean annual runoff. The nation's dams store 5000 m 3 (4 acre‐feet) of water per person. Water resource regions have experienced individualized histories of cumulative increases in reservoir storage (and thus of downstream hydrologic and ecologic impacts), but the most rapid increases in storage occurred between the late 1950s and the late 1970s. Since 1980, increases in storage have been relatively minor.",group6.csv,Unknown,,,Unknown,Published,,,,,
,Toward a Census of Bacteria in Soil,Minnesota,Patrick D. Schloss,Patrick D. Schloss; Jo Handelsman,Toward a Census of Bacteria in Soil,census; bacteria; soil,2006.0,10.1371/journal.pcbi.0020092,"For more than a century, microbiologists have sought to determine the species richness of bacteria in soil, but the extreme complexity and unknown structure of soil microbial communities have obscured the answer. We developed a statistical model that makes the problem of estimating richness statistically accessible by evaluating the characteristics of samples drawn from simulated communities with parametric community distributions. We identified simulated communities with rank-abundance distributions that followed a truncated lognormal distribution whose samples resembled the structure of 16S rRNA gene sequence collections made using Alaskan and Minnesotan soils. The simulated communities constructed based on the distribution of 16S rRNA gene sequences sampled from the Alaskan and Minnesotan soils had a richness of 5,000 and 2,000 operational taxonomic units (OTUs), respectively, where an OTU represents a collection of sequences not more than 3% distant from each other. To sample each of these OTUs in the Alaskan 16S rRNA gene library at least twice, 480,000 sequences would be required; however, to estimate the richness of the simulated communities using nonparametric richness estimators would require only 18,000 sequences. Quantifying the richness of complex environments such as soil is an important step in building an ecological framework. We have shown that generating sufficient sequence data to do so requires less sequencing effort than completely sequencing a bacterial genome.",group6.csv,Unknown,,,Unknown,Published,,,,,
,A cellular census of human lungs identifies novel cell states in health and in asthma,,Felipe A. Vieira Braga,Felipe A. Vieira Braga; Gozde Kar; Marijn Berg; Orestes A. Carpaij; Krzysztof Polański; Lukas M. Simon; Sharon Brouwer; Tomás Gomes; Laura Hesse; Jian Jiang; Eirini S. Fasouli; Mirjana Efremova; Roser Vento‐Tormo; Carlos Talavera‐López; Marnix R. Jonker; Karen Affleck; Subarna Palit; Paulina M. Strzelecka; Helen V. Firth; Krishnaa T. Mahbubani; Ana Cvejic; Kerstin B. Meyer; Kourosh Saeb‐Parsy; Marjan Luinge; Corry‐Anke Brandsma; Wim Timens; Ilias Angelidis; Maximilian Strunz; Gerard H. Koppelman; Antoon J. van Oosterhout; Herbert B. Schiller; Fabian J. Theis; Maarten van den Berge; Martijn C. Nawijn; Sarah A. Teichmann,A cellular census of human lungs identifies novel cell states in health and in asthma,census; lungs; identifies; cell; states; health; asthma,2019.0,10.1038/s41591-019-0468-5,,group6.csv,Unknown,,,Unknown,Published,,,,,
,Face detection with the modified census transform,CMU,Bernhard Fröba,Bernhard Fröba; Andreas T. Ernst,Face detection with the modified census transform,face; detection; census; transform,2004.0,10.1109/afgr.2004.1301514,"Illumination variation is a big problem in object recognition, which usually requires a costly compensation prior to classification. It would be desirable to have an image-to-image transform, which uncovers only the structure of an object for an efficient matching. In this context the contribution of our work is two-fold. First, we introduce illumination invariant local structure features for object detection. For an efficient computation we propose a modified census transform which enhances the original work of Zabih and Woodfill. We show some shortcomings and how to get over them with the modified version. S6econdly, we introduce an efficient four-stage classifier for rapid detection. Each single stage classifier is a linear classifier, which consists of a set of feature lookup-tables. We show that the first stage, which evaluates only 20 features filters out more than 99% of all background positions. Thus, the classifier structure is much simpler than previous described multi-stage approaches, while having similar capabilities. The combination of illumination invariant features together with a simple classifier leads to a real-time system on standard computers (60 msec, image size: 288/spl times/384, 2GHi Pentium). Detection results are presented on two commonly used databases in this field namely the MIT+CMU set of 130 images and the BioID set of 1526 images. We are achieving detection rates of more than 90% with a very low false positive rate of 10/sup -7/%. We also provide a demo program that can be found on the Internet http://www.iis.fraunhofer.de/bv/biometrie/download/.",group6.csv,Unknown,,,Unknown,Published,,,,,
,The Impacts of Environmental Regulations on Industrial Activity: Evidence from the 1970 and 1977 Clean Air Act Amendments and the Census of Manufactures,,Michael Greenstone,Michael Greenstone,The Impacts of Environmental Regulations on Industrial Activity: Evidence from the 1970 and 1977 Clean Air Act Amendments and the Census of Manufactures,impacts; regulations; industrial; activity; evidence; clean; air; act; amendments; census; manufactures,2002.0,10.1086/342808,"This paper estimates the impacts of the Clean Air Act's division of counties into pollutant‐specific nonattainment and attainment categories on measures of industrial activity obtained from 1.75 million plant observations from the Census of Manufactures. Emitters of the controlled pollutants in nonattainment counties were subject to greater regulatory oversight than emitters in attainment counties. The preferred statistical model for plant‐level growth includes plant fixed effects, industry by period fixed effects, and county by period fixed effects. The estimates from this model suggest that in the first 15 years in which the Clean Air Act was in force (1972–87), nonattainment counties (relative to attainment ones) lost approximately 590,000 jobs, $37 billion in capital stock, and $75 billion (1987 dollars) of output in pollution‐intensive industries. These findings are robust across many specifications, and the effects are apparent in many polluting industries.",group6.csv,Unknown,,,Unknown,Published,,,,,
,"Census and Identity: The Politics of Race, Ethnicity, and Language in National Censuses",,Manuel G. Gonzales,Manuel G. Gonzales,"Census and Identity: The Politics of Race, Ethnicity, and Language in National Censuses",census; identity; politics; race; ethnicity; language; censuses,2003.0,10.2307/27501320,"Book Review| April 01 2003 Census and Identity: The Politics of Race, Ethnicity, and Language in National Censuses Census and Identity: The Politics of Race, Ethnicity, and Language in National Censuses, David I. Kertzer and Dominique Arel. Manuel G. Gonzales Manuel G. Gonzales Search for other works by this author on: This Site Google Journal of American Ethnic History (2003) 22 (3): 93–95. https://doi.org/10.2307/27501320 Cite Icon Cite Share Icon Share Facebook Twitter LinkedIn MailTo Permissions Search Site Citation Manuel G. Gonzales; Census and Identity: The Politics of Race, Ethnicity, and Language in National Censuses. Journal of American Ethnic History 1 January 2003; 22 (3): 93–95. doi: https://doi.org/10.2307/27501320 Download citation file: Zotero Reference Manager EasyBib Bookends Mendeley Papers EndNote RefWorks BibTex toolbar search Search Dropdown Menu toolbar search search input Search input auto suggest filter your search All Scholarly Publishing CollectiveUniversity of Illinois PressJournal of American Ethnic History Search Advanced Search The text of this article is only available as a PDF. Copyright 2002 Immigration and Ethnic History Society2002 Article PDF first page preview Close Modal You do not currently have access to this content.",group6.csv,Unknown,,,Unknown,Published,,,,,
,UnFlow: Unsupervised Learning of Optical Flow With a Bidirectional Census Loss,,Simon Meister,Simon Meister; Junhwa Hur; Stefan Roth,UnFlow: Unsupervised Learning of Optical Flow With a Bidirectional Census Loss,unflow; learning; optical; flow; bidirectional; census; loss,2018.0,10.1609/aaai.v32i1.12276,"In the era of end-to-end deep learning, many advances in computer vision are driven by large amounts of labeled data. In the optical flow setting, however, obtaining dense per-pixel ground truth for real scenes is difficult and thus such data is rare. Therefore, recent end-to-end convolutional networks for optical flow rely on synthetic datasets for supervision, but the domain mismatch between training and test scenarios continues to be a challenge. Inspired by classical energy-based optical flow methods, we design an unsupervised loss based on occlusion-aware bidirectional flow estimation and the robust census transform to circumvent the need for ground truth flow. On the KITTI benchmarks, our unsupervised approach outperforms previous unsupervised deep networks by a large margin, and is even more accurate than similar supervised methods trained on synthetic datasets alone. By optionally fine-tuning on the KITTI training data, our method achieves competitive optical flow accuracy on the KITTI 2012 and 2015 benchmarks, thus in addition enabling generic pre-training of supervised networks for datasets with limited amounts of ground truth.",group6.csv,Unknown,,,Unknown,Published,,,,,
,"Census and Identity. The Politics of Race, Ethnicity, and Language in National Censuses",,Marie Ladier-Fouladi,Marie Ladier-Fouladi; David I. Kertzer; Dominique Arel,"Census and Identity. The Politics of Race, Ethnicity, and Language in National Censuses",census; identity; politics; race; ethnicity; language; censuses,2004.0,10.2307/3654946,"1. Censuses, identity formation, and the struggle for political power David I. Kertzer and Dominique Arel 2. Racial categorization in censuses Melissa Nobles 3. Ethnic categorization in censuses: comparative observations from Israel, Canada, and the United States Calvin Goldscheider 4. Language categories in censuses: backward- or forward-looking? Dominique Arel 5. The debate on resisting identity categorization in France Alain Blum 6. On counting, categorizing, and violence in Burundi and Rwanda Peter Uvin 7. Identity counts: the Soviet legacy and the census in Uzbekistan David Abramson.",group6.csv,Unknown,,,Unknown,Published,,,,,
,China's Floating Population: New Evidence from the 2000 Census,,Zai Liang,Zai Liang; Zhongdong Ma,China's Floating Population: New Evidence from the 2000 Census,china; population; new; evidence; census,2004.0,10.1111/j.1728-4457.2004.00024.x,"This article uses tabulations from the 2000 Population Census of China along with a micro‐level data sample from the census to provide a picture of China's floating population: migrants without local household registration ( hukou ), a status resulting in significant social and economic disadvantages. By 2000, the size of China's floating population had grown to nearly 79 million, if that category is defined as migrants who moved between provinces or counties and resided at their destinations for six months or more. Intra‐county floating migration is similarly large, contributing another 66 million to the size of the floating population. The article also discusses the geographic pattern of the floating population and the reasons for moving as reported by migrants. Policy implications are noted.",group6.csv,Unknown,,,Unknown,Published,,,,,
,"Camera trap, line transect census and track surveys: a comparative evaluation",,Leandro Silveira,Leandro Silveira; Anah T. A. Jácomo; José Alexandre Felizola Diniz‐Filho,"Camera trap, line transect census and track surveys: a comparative evaluation",camera; trap; line; census; track; surveys,2003.0,10.1016/s0006-3207(03)00063-6,,group6.csv,Unknown,,,Unknown,Published,,,,,
,Shades of citizenship: race and the census in modern politics,,Melissa Nobles,Melissa Nobles,Shades of citizenship: race and the census in modern politics,shades; citizenship; race; census; politics,2001.0,10.5860/choice.38-5287,,group6.csv,Unknown,,,Unknown,Published,,,,,
,Census of species recorded during phytosociological surveys in Benin,,Charles Nounagnon Gangnibo,Charles Nounagnon Gangnibo,Census of species recorded during phytosociological surveys in Benin,census; species; surveys; benin,2018.0,10.15468/6habyb,A list a plant species recorded through phytosociological surveys in Benin,group6.csv,Unknown,,,Unknown,Published,,,,,
,Ecological Census Techniques. A Handbook.,,Dave Raffaelli,Dave Raffaelli; W. J. Sutherland,Ecological Census Techniques. A Handbook.,census; techniques; a; handbook,1996.0,10.2307/2404704,,group6.csv,Unknown,,,Unknown,Published,,,,,
,A multimodal cell census and atlas of the mammalian primary motor cortex,,Edward M. Callaway,Edward M. Callaway; Hong‐Wei Dong; Joseph R. Ecker; Michael Hawrylycz; Z. Josh Huang; Ed S. Lein; John Ngai; Pavel Osten; Bing Ren; Andreas S. Tolias; Owen White; Hongkui Zeng; Xiaowei Zhuang; Giorgio A. Ascoli; M. Margarita Behrens; Jerold Chun; Guoping Feng; James C. Gee; Satrajit Ghosh; Yaroslav O. Halchenko; Ronna Hertzano; Byung Kook Lim; Maryann E. Martone; Lydia Ng; Lior Pachter; Alexander J. Ropelewski; Timothy L. Tickle; X. William Yang; Kun Zhang; Trygve E. Bakken; Philipp Berens; Tanya L. Daigle; Julie A. Harris; Nikolas L. Jorstad; Brian Kalmbach; Dmitry Kobak; Yang Eric Li; Hanqing Liu; Katherine S. Matho; Eran A. Mukamel; Maitham Naeemi; Federico Scala; Pengcheng Tan; Jonathan T. Ting; Fangming Xie; Meng Zhang; Zhuzhu Zhang; Jingtian Zhou; Brian Zingg; Ethan J. Armand; Zizhen Yao; Darren Bertagnolli; Tamara Casper; Kirsten Crichton; Nick Dee; Dinh Diep; Song‐Lin Ding; Weixiu Dong; Elizabeth L. Dougherty; Olivia Fong; Melissa Goldman; Jeff Goldy; Rebecca D. Hodge; Lijuan Hu; C. Dirk Keene; Fenna M. Krienen; Matthew Kroll; Blue B. Lake; Kanan Lathia; Sten Linnarsson; Christine S. Liu; Evan Z. Macosko; Steven A. McCarroll; Delissa McMillen; Naeem Nadaf; Thuc Nghi Nguyen; Carter R. Palmer; Thanh Pham; Nongluk Plongthongkum; Nora Reed; Aviv Regev; Christine Rimorin; William J. Romanow; Stephen Savoia; Kimberly Siletti; Kimberly A. Smith; Josef Šulc; Bosiljka Tasic; Michael Tieu; Amy Torkelson; Herman Tung; Cindy T. J. van Velthoven; Charles Vanderburg; Anna Marie Yanny; Rongxin Fang; Xiaomeng Hou; Jacinta Lucero; Julia K. Osteen; António Pinto‐Duarte; Olivier Poirion,A multimodal cell census and atlas of the mammalian primary motor cortex,multimodal; cell; census; atlas; motor; cortex,2021.0,10.1038/s41586-021-03950-0,"Here we report the generation of a multimodal cell census and atlas of the mammalian primary motor cortex as the initial product of the BRAIN Initiative Cell Census Network (BICCN). This was achieved by coordinated large-scale analyses of single-cell transcriptomes, chromatin accessibility, DNA methylomes, spatially resolved single-cell transcriptomes, morphological and electrophysiological properties and cellular resolution input-output mapping, integrated through cross-modal computational analysis. Our results advance the collective knowledge and understanding of brain cell-type organization",group6.csv,Unknown,,,Unknown,Published,,,,,
,The Role of Chance in the Census Bureau Database Reconstruction Experiment,,Steven Ruggles,Steven Ruggles; David Van Riper,The Role of Chance in the Census Bureau Database Reconstruction Experiment,chance; census; bureau; database; reconstruction; experiment,2021.0,10.1007/s11113-021-09674-3,"Abstract The Census Bureau plans a new approach to disclosure control for the 2020 census that will add noise to every statistic the agency produces for places below the state level. The Bureau argues the new approach is needed because the confidentiality of census responses is threatened by “database reconstruction,” a technique for inferring individual-level responses from tabular data. The Census Bureau constructed hypothetical individual-level census responses from public 2010 tabular data and matched them to internal census records and to outside sources. The Census Bureau did not compare these results to a null model to demonstrate that their success in matching would not be expected by chance. This is analogous to conducting a clinical trial without a control group. We implement a simple simulation to assess how many matches would be expected by chance. We demonstrate that most matches reported by the Census Bureau experiment would be expected randomly. To extend the metaphor of the clinical trial, the treatment and the placebo produced similar outcomes. The database reconstruction experiment therefore fails to demonstrate a credible threat to confidentiality.",group6.csv,Unknown,,,Unknown,Published,,,,,
,Use of Census-based Aggregate Variables to Proxy for Socioeconomic Group: Evidence from National Samples,,Arline T. Geronimus,Arline T. Geronimus; John Bound,Use of Census-based Aggregate Variables to Proxy for Socioeconomic Group: Evidence from National Samples,census; aggregate; variables; proxy; socioeconomic; group; evidence; samples,1998.0,10.1093/oxfordjournals.aje.a009673,"Increasingly, investigators append census-based socioeconomic characteristics of residential areas to individual records to address the problem of inadequate socioeconomic information on health data sets. Little empirical attention has been given to the validity of this approach. The authors estimate health outcome equations using samples from nationally representative data sets linked to census data. They investigate whether statistical power is sensitive to the timing of census data collection or to the level of aggregation of the census data; whether different census items are conceptually distinct; and whether the use of multiple aggregate measures in health outcome equations improves prediction compared with a single aggregate measure. The authors find little difference in estimates when using 1970 compared with 1980 US Bureau of the Census data or zip code compared with tract level variables. However, aggregate variables are highly multicollinear. Associations of health outcomes with aggregate measures are substantially weaker than with microlevel measures. The authors conclude that aggregate measures can not be interpreted as if they were microlevel variables nor should a specific aggregate measure be interpreted to represent the effects of what it is labeled. Am J Epidemiol 1998; 148: 475–86.",group6.csv,Unknown,,,Unknown,Published,,,,,
,Environmental regulations and manufacturers' location choices: Evidence from the Census of Manufactures,,Arik Levinson,Arik Levinson,Environmental regulations and manufacturers' location choices: Evidence from the Census of Manufactures,regulations; manufacturers; location; choices; evidence; census; manufactures,1996.0,10.1016/0047-2727(96)01572-1,,group6.csv,Unknown,,,Unknown,Published,,,,,
,"An application of the U.S. Bureau of the Census socioeconomic index to a large, diversified patient population",,Ntinos C. Myrianthopoulos,Ntinos C. Myrianthopoulos; Kathrine S. French,"An application of the U.S. Bureau of the Census socioeconomic index to a large, diversified patient population",u; s; bureau; census; index; patient; population,1968.0,10.1016/0037-7856(68)90004-8,,group6.csv,Unknown,,,Unknown,Published,,,,,
,"The virtual census: representations of gender, race and age in video games",,Dmitri Williams,Dmitri Williams; Nicole Martins; Mia Consalvo; James Ivory,"The virtual census: representations of gender, race and age in video games",census; representations; gender; race; age; video; games,2009.0,10.1177/1461444809105354,"A large-scale content analysis of characters in video games was employed to answer questions about their representations of gender, race and age in comparison to the US population. The sample included 150 games from a year across nine platforms, with the results weighted according to game sales. This innovation enabled the results to be analyzed in proportion to the games that were actually played by the public, and thus allowed the first statements able to be generalized about the content of popular video games. The results show a systematic over-representation of males, white and adults and a systematic under-representation of females, Hispanics, Native Americans, children and the elderly. Overall, the results are similar to those found in television research. The implications for identity, cognitive models, cultivation and game research are discussed.",group6.csv,Unknown,,,Unknown,Published,,,,,
